cust_id,age,gender,marital_status,employment_status,income,number_of_dependants,residence_type,years_at_current_address,city,state,zipcode,loan_id,loan_purpose,loan_type,sanction_amount,loan_amount,processing_fee,gst,net_disbursement,loan_tenure_months,principal_outstanding,bank_balance_at_application,disbursal_date,installment_start_dt,default,number_of_open_accounts,number_of_closed_accounts,total_loan_months,delinquent_months,total_dpd,enquiry_count,credit_utilization_ratio
C00011,35,M,Single,Self-Employed,3207000,1,Owned,31,Kolkata,West Bengal,700001,L00011,Home,Secured,11356000,11195000,223900.0,2015100,8956000,48,1505182,955953,2019-07-25,2019-08-06,False,1,1,26,3,19,6,33
C00012,35,F,Married,Salaried,1657000,2,Rented,20,Lucknow,Uttar Pradesh,226001,L00012,Home,Secured,5818000,5618000,112360.0,1011240,4494400,27,689266,852696,2019-07-25,2019-08-21,False,1,1,41,9,42,3,28
C00013,42,F,Single,Self-Employed,780000,0,Mortgage,16,Jaipur,Rajasthan,302001,L00013,Education,Secured,1368000,1160000,23200.0,208800,928000,41,417085,349797,2019-07-25,2019-08-17,False,2,0,57,0,0,6,15
C00014,20,F,Single,Self-Employed,3748000,0,Owned,18,Lucknow,Uttar Pradesh,226001,L00014,Personal,Unsecured,3733000,2969000,59380.0,534420,2375200,14,1907061,1351929,2019-07-25,2019-08-15,True,2,2,63,18,85,6,97
C00015,22,F,Single,Self-Employed,487000,2,Owned,20,Pune,Maharashtra,411001,L00015,Home,Secured,2002000,1954000,39080.0,351720,1563200,46,224503,244996,2019-07-25,2019-08-19,False,1,1,9,0,0,1,22
C00016,34,F,Single,Self-Employed,579000,0,Rented,13,Kolkata,West Bengal,700001,L00016,Auto,Secured,776000,744000,14880.0,133920,595200,25,311077,198453,2019-07-25,2019-08-08,False,2,1,37,0,0,3,5
C00017,29,F,Married,Salaried,157000,2,Owned,16,Mumbai,Maharashtra,400001,L00017,Personal,Unsecured,156000,141000,2820.0,25380,112800,6,92104,63382,2019-07-25,2019-08-07,False,1,2,2,1,7,3,14
C00018,43,M,Single,Self-Employed,1368000,0,Mortgage,23,Ahmedabad,Gujarat,380001,L00018,Home,Secured,4693000,4387000,87740.0,789660,3509600,39,769423,373109,2019-07-25,2019-08-13,True,3,1,61,11,58,7,87
C00019,30,M,Married,Salaried,1129000,2,Owned,4,Jaipur,Rajasthan,302001,L00019,Personal,Unsecured,1136000,914000,18280.0,164520,731200,8,653119,310157,2019-07-25,2019-08-03,False,2,0,102,0,0,7,19
C00020,25,F,Married,Self-Employed,153000,4,Owned,6,Jaipur,Rajasthan,302001,L00020,Auto,Secured,227000,209000,4180.0,37620,167200,26,81228,52622,2019-07-25,2019-07-29,False,1,1,59,3,18,6,18
C00021,54,M,Married,Self-Employed,10028000,4,Owned,18,Lucknow,Uttar Pradesh,226001,L00021,Home,Secured,26933000,25489000,509780.0,4588020,20391200,25,5000000,3855241,2019-07-25,2019-07-29,False,4,2,137,0,0,7,6
C00022,37,M,Single,Salaried,1754000,1,Owned,5,Kolkata,West Bengal,700001,L00022,Education,Secured,3260000,3209000,64180.0,577620,2567200,45,1111837,395250,2019-07-25,2019-08-11,False,4,1,149,9,45,4,24
C00023,40,M,Married,Self-Employed,3768000,3,Rented,21,Delhi,Delhi,110001,L00023,Auto,Secured,4403000,4154000,83080.0,747720,3323200,35,2032402,1927748,2019-07-25,2019-08-19,True,3,0,70,17,109,5,87
C00024,25,F,Single,Self-Employed,10704000,0,Owned,13,Lucknow,Uttar Pradesh,226001,L00024,Home,Secured,39218000,30361000,607220.0,5464980,24288800,45,4668128,4419007,2019-07-25,2019-07-31,False,4,1,106,0,0,6,25
C00025,34,F,Married,Self-Employed,598000,4,Mortgage,6,Jaipur,Rajasthan,302001,L00025,Auto,Secured,829000,768000,15360.0,138240,614400,31,332608,331236,2019-07-25,2019-08-19,False,2,1,46,0,0,6,46
C00026,41,F,Single,Self-Employed,9271000,1,Mortgage,3,Delhi,Delhi,110001,L00026,Personal,Unsecured,5000000,4935000,98700.0,888300,3948000,16,3553199,2863959,2019-07-25,2019-07-31,False,2,0,82,9,56,5,33
C00027,28,F,Married,Salaried,558000,3,Owned,4,Chennai,Tamil Nadu,600001,L00027,Education,Secured,995000,857000,17140.0,154260,685600,45,349831,246432,2019-07-25,2019-08-16,False,4,2,131,0,0,5,15
C00028,43,M,Single,Self-Employed,446000,1,Owned,4,Delhi,Delhi,110001,L00028,Personal,Unsecured,331000,326000,6520.0,58680,260800,9,234719,85720,2019-07-25,2019-08-09,False,2,0,82,3,18,6,61
C00029,33,M,Married,Salaried,258000,3,Owned,10,Chennai,Tamil Nadu,600001,L00029,Home,Secured,963000,914000,18280.0,164520,731200,28,143127,84195,2019-07-25,2019-08-13,False,3,1,70,1,2,8,46
C00030,37,M,Married,Self-Employed,1915000,2,Owned,6,Chennai,Tamil Nadu,600001,L00030,Home,Secured,7407000,6511000,130220.0,1171980,5208800,47,1287265,696073,2019-07-25,2019-08-24,True,2,2,102,9,49,3,97
C00031,33,M,Married,Salaried,446000,4,Mortgage,22,Bangalore,Karnataka,560001,L00031,Auto,Secured,640000,461000,9220.0,82980,368800,15,266281,168289,2019-07-25,2019-08-18,False,2,1,58,0,0,4,39
C00032,58,F,Married,Self-Employed,353000,3,Owned,7,Lucknow,Uttar Pradesh,226001,L00032,Home,Secured,984000,969000,19380.0,174420,775200,31,249216,164978,2019-07-25,2019-07-27,False,1,0,16,2,14,1,93
C00033,39,M,Married,Self-Employed,2900000,4,Owned,19,Pune,Maharashtra,411001,L00033,Personal,Unsecured,2312000,1821000,36420.0,327780,1456800,16,1311119,1178122,2019-07-25,2019-08-01,False,1,2,40,19,101,1,36
C00034,29,M,Married,Self-Employed,1105000,3,Owned,9,Kolkata,West Bengal,700001,L00034,Auto,Secured,1532000,1191000,23820.0,214380,952800,29,552752,481046,2019-07-25,2019-08-15,False,1,1,2,0,0,5,20
C00035,48,M,Married,Self-Employed,2932000,2,Rented,10,Lucknow,Uttar Pradesh,226001,L00035,Personal,Unsecured,2436000,1823000,36460.0,328140,1458400,16,1312559,1142722,2019-07-25,2019-08-02,False,3,0,93,24,126,5,21
C00036,27,M,Single,Salaried,2229000,1,Owned,8,Pune,Maharashtra,411001,L00036,Auto,Secured,3272000,2400000,48000.0,432000,1920000,21,1145554,578807,2019-07-25,2019-08-08,False,2,1,65,0,0,4,95
C00037,42,M,Single,Salaried,601000,0,Mortgage,1,Ahmedabad,Gujarat,380001,L00037,Auto,Secured,773000,643000,12860.0,115740,514400,17,420556,251700,2019-07-25,2019-08-24,False,4,2,86,0,0,9,37
C00038,20,M,Single,Self-Employed,6219000,0,Owned,27,Pune,Maharashtra,411001,L00038,Personal,Unsecured,5000000,4821000,96420.0,867780,3856800,22,3471119,2922149,2019-07-26,2019-08-06,False,4,0,169,0,0,9,73
C00039,26,M,Single,Salaried,11960000,0,Owned,27,Delhi,Delhi,110001,L00039,Personal,Unsecured,5000000,3848000,76960.0,692640,3078400,7,2770559,3830979,2019-07-26,2019-08-15,False,1,0,15,10,63,6,31
C00040,41,M,Single,Self-Employed,7213000,0,Rented,8,Hyderabad,Telangana,500001,L00040,Education,Secured,12679000,11493000,229860.0,2068740,9194400,27,4978574,3129078,2019-07-26,2019-08-17,False,2,2,54,18,107,6,54
C00041,47,M,Married,Self-Employed,4443000,4,Owned,27,Chennai,Tamil Nadu,600001,L00041,Personal,Unsecured,3348000,3146000,62920.0,566280,2516800,9,2265119,1255666,2019-07-26,2019-08-07,False,3,0,107,2,3,7,71
C00042,41,M,Single,Self-Employed,3034000,1,Owned,31,Hyderabad,Telangana,500001,L00042,Home,Secured,9718000,7395000,147900.0,1331100,5916000,33,1936122,977871,2019-07-26,2019-08-12,False,3,2,108,0,0,6,11
C00043,38,M,Single,Self-Employed,568000,0,Owned,11,Jaipur,Rajasthan,302001,L00043,Auto,Secured,761000,700000,14000.0,126000,560000,19,341806,216529,2019-07-26,2019-08-03,False,2,2,105,0,0,3,59
C00044,36,M,Married,Salaried,1425000,4,Rented,11,Mumbai,Maharashtra,400001,L00044,Auto,Secured,1869000,1843000,36860.0,331740,1474400,18,904773,523581,2019-07-26,2019-08-21,False,2,1,82,11,60,3,26
C00045,25,M,Married,Self-Employed,11058000,2,Rented,3,Kolkata,West Bengal,700001,L00045,Auto,Secured,10000000,7623000,152460.0,1372140,6098400,12,5000000,5414216,2019-07-26,2019-07-31,False,3,0,98,1,8,5,27
C00046,32,F,Single,Salaried,740000,1,Owned,26,Pune,Maharashtra,411001,L00046,Auto,Secured,991000,900000,18000.0,162000,720000,13,341166,177544,2019-07-26,2019-07-31,False,2,2,69,0,0,2,16
C00047,35,M,Single,Salaried,1772000,2,Rented,21,Jaipur,Rajasthan,302001,L00047,Personal,Unsecured,1486000,1136000,22720.0,204480,908800,19,817919,784183,2019-07-26,2019-07-31,False,4,2,141,6,33,4,25
C00048,50,F,Single,Salaried,794000,0,Owned,24,Kolkata,West Bengal,700001,L00048,Personal,Unsecured,605000,454000,9080.0,81720,363200,6,326879,378357,2019-07-26,2019-08-25,False,2,2,50,15,89,2,40
C00049,43,M,Married,Salaried,2365000,4,Owned,2,Mumbai,Maharashtra,400001,L00049,Home,Secured,8144000,6148000,122960.0,1106640,4918400,45,1496005,710339,2019-07-26,2019-08-02,False,1,0,20,1,8,6,69
C00050,22,M,Single,Self-Employed,940000,1,Owned,9,Pune,Maharashtra,411001,L00050,Education,Secured,1904000,1623000,32460.0,292140,1298400,37,450350,394542,2019-07-26,2019-08-23,False,1,2,3,2,7,4,42
C00051,43,M,Single,Self-Employed,3331000,0,Owned,17,Mumbai,Maharashtra,400001,L00051,Home,Secured,10393000,10386000,207720.0,1869480,8308800,29,1956218,793893,2019-07-26,2019-08-09,True,2,2,52,8,46,6,95
C00052,36,M,Married,Self-Employed,2666000,3,Owned,31,Delhi,Delhi,110001,L00052,Auto,Secured,3402000,3368000,67360.0,606240,2694400,23,1471467,1381596,2019-07-26,2019-08-14,False,1,0,24,0,0,6,46
C00053,33,M,Single,Salaried,461000,0,Mortgage,10,Mumbai,Maharashtra,400001,L00053,Auto,Secured,679000,537000,10740.0,96660,429600,18,208346,244788,2019-07-26,2019-08-01,False,2,0,110,5,30,7,3
C00054,46,M,Married,Salaried,7507000,3,Mortgage,17,Bangalore,Karnataka,560001,L00054,Education,Secured,11992000,8782000,175640.0,1580760,7025600,22,3972874,2536614,2019-07-26,2019-08-09,False,2,1,72,9,38,7,43
C00055,50,F,Single,Self-Employed,1339000,0,Mortgage,19,Bangalore,Karnataka,560001,L00055,Education,Secured,1927000,1606000,32120.0,289080,1284800,32,1119871,513754,2019-07-26,2019-08-06,False,4,2,99,0,0,7,35
C00056,49,F,Single,Self-Employed,3612000,1,Owned,25,Jaipur,Rajasthan,302001,L00056,Home,Secured,11167000,10122000,202440.0,1821960,8097600,44,2008026,2522425,2019-07-26,2019-08-04,False,1,1,10,0,0,1,86
C00057,31,M,Single,Salaried,881000,0,Owned,10,Mumbai,Maharashtra,400001,L00057,Personal,Unsecured,792000,742000,14840.0,133560,593600,9,534239,371432,2019-07-26,2019-07-30,False,4,0,120,0,0,8,97
C00058,36,M,Married,Salaried,354000,4,Owned,22,Delhi,Delhi,110001,L00058,Personal,Unsecured,334000,258000,5160.0,46440,206400,8,173271,87929,2019-07-26,2019-08-17,False,3,0,106,0,0,4,0
C00059,43,F,Single,Self-Employed,533000,0,Owned,22,Delhi,Delhi,110001,L00059,Auto,Secured,636000,548000,10960.0,98640,438400,25,300971,184192,2019-07-26,2019-08-08,False,2,0,53,0,0,2,80
C00060,49,M,Single,Self-Employed,6941000,0,Rented,4,Kolkata,West Bengal,700001,L00060,Personal,Unsecured,5000000,3529000,70580.0,635220,2823200,12,2540879,1961907,2019-07-26,2019-07-30,False,3,2,96,0,0,4,71
C00061,35,M,Married,Salaried,217000,2,Mortgage,2,Delhi,Delhi,110001,L00061,Education,Secured,407000,346000,6920.0,62280,276800,58,113688,88056,2019-07-26,2019-08-10,True,1,1,13,11,67,5,15
C00062,38,M,Single,Self-Employed,1955000,0,Mortgage,26,Chennai,Tamil Nadu,600001,L00062,Personal,Unsecured,1606000,1203000,24060.0,216540,962400,19,866159,950240,2019-07-26,2019-08-15,False,4,2,161,0,0,8,15
C00063,28,M,Married,Salaried,1690000,4,Rented,13,Mumbai,Maharashtra,400001,L00063,Personal,Unsecured,1630000,1223000,24460.0,220140,978400,10,761538,773557,2019-07-26,2019-08-15,False,3,1,89,10,62,8,86
C00064,28,M,Married,Salaried,1111000,2,Owned,6,Delhi,Delhi,110001,L00064,Auto,Secured,1671000,1321000,26420.0,237780,1056800,12,576705,438786,2019-07-26,2019-08-15,False,1,1,44,7,34,2,25
C00065,48,M,Single,Self-Employed,922000,0,Owned,11,Bangalore,Karnataka,560001,L00065,Personal,Unsecured,756000,667000,13340.0,120060,533600,21,480239,398510,2019-07-27,2019-08-02,False,1,2,35,7,41,1,20
C00066,53,M,Married,Self-Employed,7274000,3,Mortgage,21,Bangalore,Karnataka,560001,L00066,Home,Secured,22440000,21750000,435000.0,3915000,17400000,48,4671088,3312482,2019-07-27,2019-08-04,False,4,2,103,0,0,5,94
C00067,39,M,Single,Salaried,630000,1,Owned,2,Chennai,Tamil Nadu,600001,L00067,Home,Secured,2106000,1892000,37840.0,340560,1513600,46,426481,281920,2019-07-27,2019-08-22,False,2,2,49,0,0,4,57
C00068,50,M,Single,Salaried,1795000,1,Owned,18,Lucknow,Uttar Pradesh,226001,L00068,Home,Secured,5314000,3880000,77600.0,698400,3104000,24,1077186,819949,2019-07-27,2019-08-05,False,1,1,17,9,49,2,7
C00069,43,M,Single,Salaried,624000,0,Owned,14,Jaipur,Rajasthan,302001,L00069,Home,Secured,2110000,1578000,31560.0,284040,1262400,37,414953,257546,2019-07-27,2019-08-14,False,3,0,146,2,9,7,7
C00070,33,M,Married,Self-Employed,5335000,4,Rented,29,Jaipur,Rajasthan,302001,L00070,Home,Secured,17881000,17483000,349660.0,3146940,13986400,38,3056479,1697422,2019-07-27,2019-08-12,True,1,2,5,5,40,4,90
C00071,43,M,Married,Self-Employed,540000,3,Mortgage,28,Mumbai,Maharashtra,400001,L00071,Home,Secured,1875000,1850000,37000.0,333000,1480000,38,265130,220008,2019-07-27,2019-08-04,True,1,0,44,0,0,6,79
C00072,55,M,Married,Salaried,3147000,3,Owned,18,Delhi,Delhi,110001,L00072,Personal,Unsecured,2141000,1700000,34000.0,306000,1360000,12,1223999,896214,2019-07-27,2019-08-24,False,2,1,36,8,33,4,96
C00073,39,M,Married,Salaried,1667000,3,Owned,2,Mumbai,Maharashtra,400001,L00073,Education,Secured,2666000,2295000,45900.0,413100,1836000,32,978071,357207,2019-07-27,2019-08-18,False,4,1,149,23,158,5,83
C00074,55,M,Married,Self-Employed,1085000,3,Owned,20,Bangalore,Karnataka,560001,L00074,Home,Secured,3272000,2362000,47240.0,425160,1889600,41,602695,490907,2019-07-27,2019-08-18,False,1,0,57,18,67,6,88
C00075,18,M,Single,Self-Employed,385000,0,Rented,10,Bangalore,Karnataka,560001,L00075,Education,Secured,850000,701000,14020.0,126180,560800,38,179819,150148,2019-07-27,2019-08-01,False,3,2,66,6,41,5,41
C00076,48,M,Single,Self-Employed,1025000,0,Owned,13,Hyderabad,Telangana,500001,L00076,Home,Secured,3039000,2471000,49420.0,444780,1976800,36,674743,247658,2019-07-27,2019-08-07,False,3,2,52,0,0,3,37
C00077,40,M,Single,Self-Employed,2892000,1,Rented,16,Lucknow,Uttar Pradesh,226001,L00077,Home,Secured,10714000,9230000,184600.0,1661400,7384000,45,1614251,1024025,2019-07-27,2019-08-15,False,1,0,41,0,0,4,12
C00078,37,M,Single,Self-Employed,7713000,1,Owned,10,Delhi,Delhi,110001,L00078,Auto,Secured,9819000,6969000,139380.0,1254420,5575200,21,4342481,3534121,2019-07-27,2019-08-11,False,4,0,116,0,0,9,15
C00079,40,M,Married,Self-Employed,4925000,5,Owned,16,Ahmedabad,Gujarat,380001,L00079,Personal,Unsecured,4408000,3723000,74460.0,670140,2978400,20,2644331,1940273,2019-07-27,2019-08-07,True,3,0,118,19,88,8,91
C00080,20,F,Single,Salaried,785000,1,Rented,3,Jaipur,Rajasthan,302001,L00080,Auto,Secured,1225000,1221000,24420.0,219780,976800,35,350124,286527,2019-07-27,2019-08-14,False,2,2,77,0,0,7,24
C00081,37,F,Married,Self-Employed,3034000,3,Rented,8,Bangalore,Karnataka,560001,L00081,Personal,Unsecured,2482000,2268000,45360.0,408240,1814400,18,1632959,1015723,2019-07-27,2019-08-19,False,3,2,54,5,31,6,13
C00082,43,M,Married,Salaried,1924000,5,Owned,23,Hyderabad,Telangana,500001,L00082,Home,Secured,6801000,6361000,127220.0,1144980,5088800,34,1049982,790280,2019-07-27,2019-08-14,False,2,1,24,0,0,5,95
C00083,54,M,Single,Self-Employed,3993000,2,Owned,2,Ahmedabad,Gujarat,380001,L00083,Auto,Secured,4570000,3911000,78220.0,703980,3128800,28,2815919,1104326,2019-07-27,2019-08-20,False,3,2,138,0,0,7,51
C00084,34,M,Single,Salaried,1136000,0,Mortgage,3,Mumbai,Maharashtra,400001,L00084,Home,Secured,3937000,2998000,59960.0,539640,2398400,30,611811,500595,2019-07-27,2019-07-28,False,2,0,61,0,0,5,0
C00085,31,M,Single,Salaried,1599000,2,Mortgage,20,Hyderabad,Telangana,500001,L00085,Home,Secured,6092000,4428000,88560.0,797040,3542400,30,860882,569988,2019-07-27,2019-08-04,False,2,1,22,0,0,7,2
C00086,34,M,Married,Salaried,474000,3,Rented,14,Mumbai,Maharashtra,400001,L00086,Auto,Secured,639000,560000,11200.0,100800,448000,17,202685,121243,2019-07-27,2019-07-28,False,1,2,51,0,0,6,6
C00087,49,M,Single,Self-Employed,4770000,0,,22,Bangalore,Karnataka,560001,L00087,Home,Secured,15222000,11538000,230760.0,2076840,9230400,28,3406729,1148860,2019-07-27,2019-08-08,False,3,2,107,7,34,3,75
C00088,43,M,Single,Self-Employed,10429000,0,Owned,24,Jaipur,Rajasthan,302001,L00088,Personal,Unsecured,5000000,3745000,74900.0,674100,2996000,11,2696399,3043259,2019-07-27,2019-08-07,False,1,1,42,0,0,1,34
C00089,34,F,Single,Salaried,150000,1,Owned,20,Kolkata,West Bengal,700001,L00089,Home,Secured,553000,436000,8720.0,78480,348800,34,76718,63147,2019-07-27,2019-08-02,False,2,2,38,1,7,7,14
C00090,45,F,Married,Salaried,1289000,3,Owned,24,Ahmedabad,Gujarat,380001,L00090,Personal,Unsecured,1110000,901000,18020.0,162180,720800,11,648719,408414,2019-07-27,2019-08-12,False,4,2,115,3,12,4,75
C00091,40,F,Married,Self-Employed,672000,3,Mortgage,23,Delhi,Delhi,110001,L00091,Personal,Unsecured,540000,441000,8820.0,79380,352800,10,298299,340571,2019-07-27,2019-08-23,False,2,0,52,0,0,7,44
C00092,49,F,Married,Self-Employed,3381000,3,Owned,30,Mumbai,Maharashtra,400001,L00092,Home,Secured,10671000,8097000,161940.0,1457460,6477600,48,2024223,1045917,2019-07-27,2019-08-01,False,2,2,37,9,46,3,16
C00093,32,M,Married,Self-Employed,3236000,3,Rented,25,Ahmedabad,Gujarat,380001,L00093,Personal,Unsecured,3029000,2471000,49420.0,444780,1976800,21,1756075,967564,2019-07-28,2019-08-08,False,1,0,50,0,0,5,48
C00094,36,F,Married,Self-Employed,536000,2,Owned,29,Mumbai,Maharashtra,400001,L00094,Auto,Secured,667000,502000,10040.0,90360,401600,17,277253,137026,2019-07-28,2019-08-23,True,2,2,66,20,93,6,98
C00095,36,M,Single,Self-Employed,2468000,0,Owned,20,Ahmedabad,Gujarat,380001,L00095,Personal,Unsecured,2316000,2077000,41540.0,373860,1661600,8,1192240,845700,2019-07-28,2019-08-19,False,1,2,26,3,12,3,24
C00096,25,F,Married,Self-Employed,390000,3,Owned,15,Mumbai,Maharashtra,400001,L00096,Education,Secured,751000,582000,11640.0,104760,465600,30,227696,166747,2019-07-28,2019-07-30,False,2,2,93,9,39,3,52
C00097,42,F,Single,Self-Employed,1691000,0,Owned,16,Bangalore,Karnataka,560001,L00097,Personal,Unsecured,1385000,1366000,27320.0,245880,1092800,15,903743,419857,2019-07-28,2019-08-18,False,1,1,36,7,28,1,64
C00098,42,M,Married,Self-Employed,2195000,3,Owned,10,Kolkata,West Bengal,700001,L00098,Home,Secured,7241000,5681000,113620.0,1022580,4544800,42,1492503,964929,2019-07-28,2019-08-06,False,3,2,86,0,0,4,11
C00099,40,F,Single,Self-Employed,340000,2,Owned,9,Pune,Maharashtra,411001,L00099,Education,Secured,568000,419000,8380.0,75420,335200,38,240606,130042,2019-07-28,2019-08-01,True,3,2,46,16,99,6,90
C00100,37,M,Married,Self-Employed,9289000,2,Mortgage,5,Chennai,Tamil Nadu,600001,L00100,Home,Secured,34913000,34579000,691580.0,6224220,27663200,29,5000000,3226836,2019-07-28,2019-08-17,True,2,2,50,10,40,5,97
C00101,25,M,Single,Self-Employed,2808000,0,Owned,10,Kolkata,West Bengal,700001,L00101,Education,Secured,5483000,4085000,81700.0,735300,3268000,49,1546937,1073838,2019-07-28,2019-08-01,False,2,1,113,3,18,4,0
C00102,35,F,Married,Salaried,1973000,2,Rented,23,Jaipur,Rajasthan,302001,L00102,Education,Secured,3802000,3454000,69080.0,621720,2763200,14,1025571,850858,2019-07-28,2019-08-09,False,3,2,90,6,26,4,3
C00103,36,M,Single,Self-Employed,11661000,0,Owned,7,Kolkata,West Bengal,700001,L00103,Education,Secured,20000000,19223000,384460.0,3460140,15378400,22,5000000,3368058,2019-07-28,2019-08-01,True,2,1,74,7,42,3,99
C00104,31,F,Single,Salaried,2339000,2,Mortgage,25,Chennai,Tamil Nadu,600001,L00104,Home,Secured,8858000,7791000,155820.0,1402380,6232800,25,1583219,1210716,2019-07-28,2019-08-03,False,4,2,85,9,38,9,23
C00105,38,M,Married,Self-Employed,10075000,3,Owned,19,Chennai,Tamil Nadu,600001,L00105,Personal,Unsecured,5000000,3812000,76240.0,686160,3049600,19,2744639,3544877,2019-07-28,2019-08-04,False,1,2,6,0,0,3,48
C00106,44,M,Single,Self-Employed,11448000,2,Mortgage,11,Bangalore,Karnataka,560001,L00106,Personal,Unsecured,5000000,4346000,86920.0,782280,3476800,13,3129119,3596529,2019-07-28,2019-08-12,False,3,0,95,10,70,6,4
C00107,58,F,Married,Self-Employed,1073000,2,Owned,27,Jaipur,Rajasthan,302001,L00107,Education,Secured,1564000,1544000,30880.0,277920,1235200,40,696696,461976,2019-07-28,2019-08-14,False,4,1,75,2,7,9,45
C00108,41,F,Single,Self-Employed,982000,0,Rented,11,Jaipur,Rajasthan,302001,L00108,Auto,Secured,1276000,904000,18080.0,162720,723200,33,539999,269094,2019-07-28,2019-08-27,False,3,2,72,0,0,7,17
C00109,42,M,Married,Self-Employed,2368000,2,Owned,16,Kolkata,West Bengal,700001,L00109,Personal,Unsecured,1983000,1863000,37260.0,335340,1490400,6,1197488,517880,2019-07-28,2019-08-16,False,1,2,47,0,0,2,14
C00110,39,M,Married,Salaried,732000,3,Mortgage,19,Hyderabad,Telangana,500001,L00110,Education,Secured,1176000,891000,17820.0,160380,712800,26,398731,221825,2019-07-28,2019-08-12,False,3,2,82,0,0,4,19
C00111,20,M,Single,Salaried,1167000,0,Rented,24,Chennai,Tamil Nadu,600001,L00111,Auto,Secured,1750000,1318000,26360.0,237240,1054400,14,533171,589469,2019-07-28,2019-08-24,False,2,2,71,12,57,7,36
C00112,39,F,Single,Salaried,10680000,1,Rented,10,Mumbai,Maharashtra,400001,L00112,Auto,Secured,10000000,7401000,148020.0,1332180,5920800,27,5000000,2537684,2019-07-28,2019-08-05,False,3,2,87,10,47,8,23
C00113,40,M,Married,Self-Employed,1192000,3,Mortgage,23,Mumbai,Maharashtra,400001,L00113,Auto,Secured,1654000,1618000,32360.0,291240,1294400,26,553261,528269,2019-07-28,2019-08-26,False,2,0,89,0,0,4,16
C00114,64,F,Married,Self-Employed,3070000,4,Mortgage,13,Mumbai,Maharashtra,400001,L00114,Home,Secured,9078000,7368000,147360.0,1326240,5894400,25,2675278,887709,2019-07-28,2019-08-16,False,3,1,110,0,0,6,11
C00115,38,F,Married,Salaried,785000,4,Owned,29,Kolkata,West Bengal,700001,L00115,Home,Secured,2747000,2666000,53320.0,479880,2132800,26,535603,189353,2019-07-28,2019-08-01,False,4,0,116,0,0,5,92
C00116,43,M,Married,Salaried,695000,4,Mortgage,10,Mumbai,Maharashtra,400001,L00116,Auto,Secured,876000,847000,16940.0,152460,677600,25,425510,342464,2019-07-28,2019-07-29,False,1,0,46,0,0,6,59
C00117,39,M,Single,Self-Employed,3410000,1,Mortgage,31,Pune,Maharashtra,411001,L00117,Education,Secured,5733000,5186000,103720.0,933480,4148800,53,1985808,1314868,2019-07-28,2019-07-29,False,1,2,27,14,82,2,30
C00118,28,M,Single,Salaried,743000,0,Owned,28,Pune,Maharashtra,411001,L00118,Auto,Secured,1176000,1073000,21460.0,193140,858400,27,374482,275859,2019-07-28,2019-08-02,False,3,2,126,23,97,3,49
